ren min ri bao train: without trained word-embedding:

NEW BEST: epoch 12, best test P ,R, F1 0.683575248281  0.764263751281  0.721671102508
NEW BEST: epoch 13, best test P ,R, F1 0.718030050083  0.734711308507  0.726274907126
NEW BEST: epoch 14, best test P ,R, F1 0.70147150908  0.765459514862  0.732069923215
NEW BEST: epoch 15, best test P ,R, F1 0.717089125102  0.749060471472  0.732726209374
NEW BEST: epoch 16, best test P ,R, F1 0.706741223983  0.777246327298  0.740318906606
NEW BEST: epoch 17, best test P ,R, F1 0.713570198779  0.778783737615  0.744752103243
NEW BEST: epoch 18, best test P ,R, F1 0.709776751347  0.787495729416  0.746619159446
NEW BEST: epoch 19, best test P ,R, F1 0.715395370514  0.786641612573  0.749328777154
NEW BEST: epoch 20, best test P ,R, F1 0.705979816237  0.800649128801  0.750340190507
NEW BEST: epoch 23, best test P ,R, F1 0.714418030256  0.790570550051  0.750567628933
NEW BEST: epoch 25, best test P ,R, F1 0.69932233353  0.810898530919  0.7509887676
NEW BEST: epoch 26, best test P ,R, F1 0.710324039186  0.805090536385  0.754744174874
NEW BEST: epoch 27, best test P ,R, F1 0.710051158592  0.806115476597  0.75504
NEW BEST: epoch 28, best test P ,R, F1 0.718803023292  0.796036897848  0.755451082111
NEW BEST: epoch 32, best test P ,R, F1 0.716511379258  0.801332422275  0.756551890977
NEW BEST: epoch 34, best test P ,R, F1 0.726360357535  0.791253843526  0.757419671327
NEW BEST: epoch 45, best test P ,R, F1 0.719338539274  0.802528185856  0.758659668954

